File,URL,Issue,Severity
BenchmarkTest00001.xml,https://192.168.6.149:8443/benchmark/pathtraver-00/BenchmarkTest00001,Private IP address disclosure,low
BenchmarkTest00001.xml,https://192.168.6.149:8443/benchmark/pathtraver-00/BenchmarkTest00001,Private IP address disclosure,low
BenchmarkTest00001.xml,https://192.168.6.149:8443/benchmark/pathtraver-00/BenchmarkTest00001,Allowed HTTP methods,informational
BenchmarkTest00001.xml,https://192.168.6.149:8443/benchmark/pathtraver-00/BenchmarkTest00001/%5C.6ec4930ad7eb138a55c392187e0d7f0f%5C,Interesting response,informational
BenchmarkTest00001.xml,https://192.168.6.149:8443/benchmark/pathtraver-00/BenchmarkTest00001,HttpOnly cookie,informational
BenchmarkTest00002.xml,https://192.168.6.149:8443/benchmark/pathtraver-00/BenchmarkTest00002,Private IP address disclosure,low
BenchmarkTest00002.xml,https://192.168.6.149:8443/benchmark/pathtraver-00/BenchmarkTest00002,Private IP address disclosure,low
BenchmarkTest00002.xml,https://192.168.6.149:8443/benchmark/pathtraver-00/BenchmarkTest00002,Allowed HTTP methods,informational
BenchmarkTest00002.xml,https://192.168.6.149:8443/benchmark/pathtraver-00/BenchmarkTest00002/%5C.36f64ca34ba52595a2d8d980f1075a3f%5C,Interesting response,informational
BenchmarkTest00002.xml,https://192.168.6.149:8443/benchmark/pathtraver-00/BenchmarkTest00002,HttpOnly cookie,informational
BenchmarkTest00003.xml,https://192.168.6.149:8443/benchmark/hash-00/BenchmarkTest00003,Private IP address disclosure,low
BenchmarkTest00003.xml,https://192.168.6.149:8443/benchmark/hash-00/BenchmarkTest00003,Private IP address disclosure,low
BenchmarkTest00003.xml,https://192.168.6.149:8443/benchmark/hash-00/BenchmarkTest00003,Allowed HTTP methods,informational
BenchmarkTest00003.xml,https://192.168.6.149:8443/benchmark/hash-00/BenchmarkTest00003/%5C.%5C,Interesting response,informational
BenchmarkTest00003.xml,https://192.168.6.149:8443/benchmark/hash-00/BenchmarkTest00003,HttpOnly cookie,informational
BenchmarkTest00004.xml,https://192.168.6.149:8443/benchmark/trustbound-00/BenchmarkTest00004,Private IP address disclosure,low
BenchmarkTest00004.xml,https://192.168.6.149:8443/benchmark/trustbound-00/BenchmarkTest00004,Private IP address disclosure,low
BenchmarkTest00004.xml,https://192.168.6.149:8443/benchmark/trustbound-00/BenchmarkTest00004,Allowed HTTP methods,informational
BenchmarkTest00004.xml,https://192.168.6.149:8443/benchmark/trustbound-00/BenchmarkTest00004/%5C.779075cc6aef4bcb24a48d09d1563581%5C,Interesting response,informational
BenchmarkTest00004.xml,https://192.168.6.149:8443/benchmark/trustbound-00/BenchmarkTest00004,HttpOnly cookie,informational
BenchmarkTest00005.xml,https://192.168.6.149:8443/benchmark/crypto-00/BenchmarkTest00005,Allowed HTTP methods,informational
